"Section","Machine","Brand/Origin","Supplier Name","Company Name","Mail ID","Req Qty,Sets","Rate, USD","Total Amount,USD"
"Plastic","Injection Molding Machine 250 Ton","China","Mr. Jiang","HAITIAN","htspareparts@mail.haitian.com htservice4@mail.haitian.com","30","35924","1077720"
"Plastic","Injection Molding Machine 360 Ton","China","MR. Samuzzol Paul","Chen Hsang","ceofusionengineering@gmail.com","5","55334","276670"
"Plastic","Crusher mchine","China","Jane Jian","ENMA Crusher","jane@enma.fr","4","10117","40468"
"Plastic","","China","Nicole","LGY","luoander26@hym-cn.com","","",""
"Plastic","","China","Joice","SINCARE","joyce@sincereindustry.com","","",""
"Plastic","","China","Lilian Gan","SHINI","liyan.yan@shini.cn.com","","",""
"Plastic","","India","KARTHI KUMAR","ARUN ENTERPRISES","karthikumar@arunpla.com","","",""
"Plastic","","China","Sharon Wong","TOPSTAR","wxj012660@topstarltd.com","","",""
"Plastic","Mixture machine","China","Lilian Gan","SHINI","liyan.yan@shini.cn.com","2","2175","4350"
"Plastic","","China","Sharon Wong","TOPSTAR","wxj012660@topstarltd.com","","",""
"Plastic","","China","Joice","SINCARE","joyce@sincereindustry.com","","",""
"Plastic","Over head crane","China","Blanche","DG Crane","blanche@dgcrane.com","4","8000","32000"
"Plastic","","China","Eurocrane","EURO CRANE","sw11@eurocrane.com.cn","","",""
"Plastic","Mold","China","sophie","maihengmould","sales@maihengmould.com","300","4000","1200000"
"Plastic","","China","Nicole","LGY","luoander26@hym-cn.com","","",""
"Plastic","","China","Kimmy","Pentek","kimmy@pntek.com.cn","","",""
"Plastic","","India","Gagandeep Singh","OM Glaxy","gagansingh3293@gmail.com","","",""
"Plastic","Chiller-140TR","China","Sharon Wong","TOPSTAR","wxj012660@topstarltd.com","2","46250","92500"
"Plastic","Cooling tower - 120 TR","China","Nicole","LGY","luoander26@hym-cn.com","2","3000","6000"
"Plastic","Pump","China","Joice","SINCARE","joyce@sincereindustry.com","13","1030","13390"
